Time, Heater, Temperature
3927.551121,32,53.157
3928.55677,32,53.125
3929.542736,32,53.125
3930.548442,32,53.125
3931.534406,32,52.996
3932.540132,32,53.028
3933.526069,32,52.835
3934.531776,32,52.835
3935.517724,32,52.803
3936.52343,32,52.803
3937.509269,32,52.803
3938.515095,32,52.803
3939.500938,32,52.803
3940.506714,32,52.803
3941.492619,32,52.803
3942.498391,32,52.706
3943.484252,32,52.577
3944.489921,32,52.513
3945.475858,32,52.48
3946.481584,32,52.48
3947.467502,32,52.48
3948.472858,32,52.48
3949.459141,32,52.416
3950.46455,32,52.448
3951.450797,32,52.287
3952.456192,32,52.384
3953.442361,32,52.158
3954.447852,32,52.158
3955.43404,32,52.158
3956.43954,32,52.158
3957.425677,32,52.158
3958.431213,32,52.158
3959.41736,32,52.158
3960.422901,32,52.094
3961.408615,32,51.868
3962.414532,32,51.836
3963.400265,32,51.965
3964.406121,32,51.836
3965.391904,32,51.836
3966.397785,32,51.868
3967.383575,32,51.836
3968.389056,32,51.836
3969.375222,32,51.836
3970.380689,32,51.836
3971.366685,32,51.546
3972.372355,32,51.514
3973.358341,32,51.514
3974.364006,32,51.514
3975.349852,32,51.514
3976.355695,35,51.514
3977.341386,35,51.514
3978.347508,35,51.514
3979.33263,35,51.481
3980.339343,35,51.514
3981.324409,35,51.417
3982.331169,35,51.417
3983.316173,35,51.353
3984.32298,35,51.32
3985.307967,35,51.256
3986.31478,35,51.353
3987.299745,35,51.449
3988.306595,35,51.256
3989.291689,35,51.224
3990.298008,35,51.191
3991.283439,35,51.191
3992.289835,35,51.353
3993.275173,35,51.449
3994.281221,35,51.514
3995.266958,35,51.481
3996.273016,35,51.481
3997.258504,35,51.514
3998.264831,35,51.514
3999.249871,35,51.514
4000.256584,35,51.514
4001.241657,35,51.514
4002.248422,35,51.514
4003.23321,35,51.481
4004.240223,35,51.288
4005.22499,35,51.288
4006.232051,35,51.256
4007.216795,35,51.256
4008.223857,35,51.224
4009.208608,35,51.191
4010.215722,35,51.191
4011.200428,35,51.191
4012.207492,35,51.191
4013.19223,35,51.127
4014.199323,35,51.191
4015.184032,35,51.127
4016.191137,35,51.063
4017.175814,35,50.869
4018.182932,35,50.869
4019.167625,35,50.837
4020.17477,35,50.708
4021.159406,35,50.579
4022.166623,35,50.611
4023.151218,35,50.547
4024.158465,35,50.547
4025.143001,35,50.547
4026.150178,35,50.547
4027.13478,35,50.547
4028.141972,35,50.547
4029.126145,35,50.547
